area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,21-Dec,3 BHK,Sodgere,1868,3.0,2.0,131.0,Shaniwar Peth
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,883,2.0,1.0,45.0,Shivaji Nagar
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,900,2.0,1.0,110.0,Shukrawar Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1664,2.0,3.0,73.95,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,2026,3.0,2.0,132.0,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,Soestin,1210,2.0,1.0,80.9,Swargate
Plot  Area,Ready To Move,4 Bedroom,Sreat R,4111,4.0,2.0,225.0,Tilak Road
Super built-up  Area,Ready To Move,3 BHK,Alestrb,1762,3.0,3.0,91.45,Uruli Devachi
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1252,3.0,3.0,55.0,Vadgaon Budruk
Built-up  Area,Ready To Move,2 BHK,Mauner ,861,2.0,1.0,34.5,Wadgaon Sheri
Built-up  Area,Ready To Move,3 BHK,Brnia G,1420,2.0,1.0,100.0,Viman Nagar
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1450,4.5,0.0,225.0,Vishrant Wadi
Built-up  Area,Ready To Move,3 BHK,GaicaVe,1490,3.0,1.0,78.8,Wagholi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1075,2.0,1.0,46.0,Wakadewadi
Super built-up  Area,18-Aug,3 BHK,Saesttt,1425,2.0,2.0,94.0,Wanowrie
Built-up  Area,Ready To Move,2 BHK,Nae 2El,1200,2.0,1.0,40.0,Warje
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1280,2.0,2.0,56.0,Yerawada
Super built-up  Area,Ready To Move,2 BHK,Bhinglv,1084,2.0,2.0,50.0,Alandi Road
Super built-up  Area,18-Jul,2 BHK,SunceEs,1015,2.0,2.0,25.88,Ambegaon Budruk
Super built-up  Area,21-May,2 BHK,GolusLi,1017,2.0,1.0,51.25,Anandnagar
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1027,2.0,2.0,44.0,Aundh
Super built-up  Area,Ready To Move,2 BHK,Coush W,1069,2.0,2.0,45.0,Aundh Road
Super built-up  Area,Ready To Move,2 BHK,Prersis,1349,2.0,1.0,98.2,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,NaensGa,1005,2.0,1.0,50.0,Baner
Super built-up  Area,Ready To Move,2 BHK,Arzzo P,1417,2.0,3.0,75.0,Baner road
Plot  Area,18-Jan,3 Bedroom,GrrvaGr,1475,3.0,1.0,98.0,Bhandarkar Road
Carpet  Area,Ready To Move,2 BHK,SMikaay,950,2.0,2.0,47.0,Bhavani Peth
Super built-up  Area,Ready To Move,4 BHK,Prave E,2000,4.0,0.0,120.0,Bibvewadi
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,880,3.0,1.0,140.0,Bopodi
Super built-up  Area,Ready To Move,4 BHK,Ahriaup,1863,3.0,2.0,104.0,Budhwar Peth
Super built-up  Area,Ready To Move,2 BHK,Priewhi,1010,2.0,1.0,29.5,Bund Garden Road
Super built-up  Area,Ready To Move,3 BHK,Shodsth,1425,2.0,1.0,70.0,Camp
Super built-up  Area,Ready To Move,3 BHK,Swadeh ,1450,3.0,0.0,100.0,Chandan Nagar
Super built-up  Area,Ready To Move,3 BHK,Somumys,1847,3.0,2.0,105.0,Dapodi
Super built-up  Area,Ready To Move,2 BHK,Soran U,1100,2.0,3.0,45.0,Deccan Gymkhana
Super built-up  Area,20-Dec,1 BHK,PrarePa,525,1.0,1.0,26.0,Dehu Road
Super built-up  Area,Ready To Move,3 BHK,Puestig,1665,3.0,2.0,95.0,Dhankawadi
Super built-up  Area,Ready To Move,4 BHK,Prntsrt,1664,4.0,3.0,65.0,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,Maerar ,1850,3.0,3.0,150.0,Dhole Patil Road
Super built-up  Area,Ready To Move,2 BHK,Vaesh T,1438,2.0,3.0,100.0,Erandwane
Super built-up  Area,Ready To Move,3 BHK,MaisePa,1560,3.0,3.0,115.0,Fatima Nagar
Super built-up  Area,18-Apr,2 BHK,GrrvaGr,1350,2.0,1.0,55.55,Fergusson College Road
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1550,3.0,3.0,67.0,Ganesh Peth
Super built-up  Area,18-Apr,2 BHK,GrrvaGr,1140,2.0,2.0,46.5,Ganeshkhind
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,1200,4.5,2.0,180.0,Ghorpade Peth
Super built-up  Area,18-Dec,2 BHK,GrrvaGr,850,2.0,2.0,27.0,Ghorpadi
Super built-up  Area,Ready To Move,2 BHK,Gotis A,1280,2.0,2.0,75.0,Gokhale Nagar
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1170,2.0,2.0,52.0,Gultekdi
Super built-up  Area,Ready To Move,2 BHK,Puodse ,1113,2.0,1.0,51.0,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,Mileeou,1385,2.0,1.0,83.09,Hadapsar
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2.0,1.0,65.0,Hadapsar Industrial Estate
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,2.0,2.0,128.0,Hingne Khurd
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,3.0,165.0,Jangali Maharaj Road
Super built-up  Area,Ready To Move,3 BHK,PhestOn,2390,3.0,2.0,225.0,Kalyani Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,2400,4.0,1.0,225.0,Karve Nagar
Super built-up  Area,Ready To Move,3 BHK,NRowse ,1464,3.0,2.0,56.0,Karve Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,2.0,55.0,Kasba Peth
Super built-up  Area,Ready To Move,2 BHK,Abncy R,1200,2.0,2.0,52.0,Katraj
Super built-up  Area,Ready To Move,3 BHK,Baowsig,1150,2.0,1.0,55.0,Khadaki
Built-up  Area,Ready To Move,3 BHK,Itala A,1645,3.0,2.0,95.0,Khadki
Super built-up  Area,20-Mar,2 BHK,GrrvaGr,1000,2.0,1.0,67.0,Kharadi
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,2650,4.0,2.0,198.0,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,HMinebo,1192,2.0,2.0,74.0,Kondhwa Budruk
Super built-up  Area,Ready To Move,3 BHK,K borja,2135,3.0,2.0,215.0,Kondhwa Khurd
Super built-up  Area,19-Dec,2 BHK,Oreldhi,1173,2.0,1.0,58.0,Koregaon Park
Built-up  Area,Ready To Move,2 BHK,Sungspr,1020,2.0,2.0,45.0,Kothrud
Super built-up  Area,Ready To Move,4 BHK,Prtanha,3122,4.5,2.0,225.0,Law College Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1600,3.0,3.0,64.0,Laxmi Road
Plot  Area,18-Mar,2 Bedroom,GrrvaGr,1200,2.0,0.0,79.0,Lulla Nagar
Carpet  Area,Ready To Move,2 BHK,GrrvaGr,1230,2.0,3.0,48.0,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,2 BHK,Clntsrt,1250,2.0,2.0,40.0,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,PuamaPa,1325,2.0,2.0,76.0,Manik Bagh
Built-up  Area,Ready To Move,3 BHK,Brngsal,1850,3.0,1.0,150.0,Market yard
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,2.0,2.0,21.53,Model colony
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,2.0,65.0,Mukund Nagar
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1350,2.0,0.0,140.0,Mundhawa
Super built-up  Area,18-Jun,3 BHK,SSestth,1260,3.0,1.0,49.36,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,Vancy R,1800,3.0,0.0,150.0,Nana Peth
Plot  Area,18-Dec,3 Bedroom,PrhyaK ,11,3.0,2.0,74.0,Narayan Peth
Built-up  Area,Ready To Move,2 BHK,Miwel M,1100,2.0,1.0,43.25,Narayangaon
Super built-up  Area,Ready To Move,2 BHK,SrEndPo,1508,2.0,1.0,77.0,Navi Peth
Carpet  Area,Ready To Move,3 BHK,Puens G,1592,3.0,2.0,75.0,Padmavati
Super built-up  Area,Ready To Move,2 BHK,SagasSa,1388,2.0,3.0,57.0,Parvati Darshan
Super built-up  Area,18-May,1 BHK,SNbay G,630,1.0,1.0,28.35,Pashan
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,2000,3.0,2.0,225.0,Paud Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1762,3.0,1.0,125.0,Pirangut
Super built-up  Area,21-Dec,2 BHK,GrrvaGr,950,2.0,2.0,50.0,Prabhat Road
Super built-up  Area,Ready To Move,4 BHK,Soianal,3252,4.5,3.0,225.0,Pune Railway Station
Super built-up  Area,18-Aug,2 BHK,Vrenty ,1116,2.0,1.0,50.0,Rasta Peth
Super built-up  Area,Ready To Move,2 BHK,AriosHe,1308,2.0,2.0,89.04,Raviwar Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1200,3.0,0.0,90.0,Sadashiv Peth
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1500,4.0,2.0,225.0,Sahakar Nagar
Built-up  Area,Ready To Move,1 BHK,GrrvaGr,500,1.0,1.0,18.5,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,SLureSi,1075,2.0,1.0,52.0,Sasson Road
Super built-up  Area,18-Mar,1 BHK,Siissi ,530,1.0,0.0,11.66,Satara Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1205,2.0,3.0,66.0,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,Mangsr ,1075,2.0,2.0,60.0,Shaniwar Peth
Built-up  Area,Ready To Move,2 BHK,HovasTe,930,2.0,2.0,39.0,Shivaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Exncene,1380,2.0,1.0,60.0,Shukrawar Peth
Super built-up  Area,Ready To Move,4 BHK,Prersis,2483,4.5,2.0,212.0,Sinhagad Road
Built-up  Area,Ready To Move,2 BHK,Shyas S,1166,2.0,2.0,55.0,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,NadelCi,1050,2.0,1.0,65.0,Swargate
Super built-up  Area,19-Mar,3 BHK,Sothadr,2023.71,3.0,2.0,225.0,Tilak Road
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2.0,2.0,46.8,Uruli Devachi
Super built-up  Area,Ready To Move,3 BHK,Puarent,1600,2.0,1.0,108.0,Vadgaon Budruk
Super built-up  Area,Ready To Move,3 BHK,MaionPa,1935,3.0,2.0,110.0,Wadgaon Sheri
Super built-up  Area,18-May,1 BHK,Maian M,451,1.0,0.0,29.9,Viman Nagar
Super built-up  Area,Ready To Move,3 BHK,ShstaAl,1800,3.0,2.0,95.0,Vishrant Wadi
Super built-up  Area,18-May,3 BHK,Shard T,1400,3.0,0.0,77.0,Wagholi
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,1801,3.0,2.0,115.0,Wakadewadi
Built-up  Area,Ready To Move,2 BHK,Neagar ,1451,2.0,2.0,90.0,Wanowrie
Plot  Area,19-Jan,2 Bedroom,GrrvaGr,1200,1.0,1.0,36.0,Warje
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1160,2.0,2.0,44.0,Yerawada
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1000,2.0,1.0,25.0,Alandi Road
Super built-up  Area,Ready To Move,2 BHK,Wiowsri,950,2.0,1.0,40.0,Ambegaon Budruk
Built-up  Area,20-Dec,3 BHK,GrrvaGr,1629,3.0,2.0,79.0,Anandnagar
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1580,2.0,0.0,134.0,Aundh
Super built-up  Area,21-Jun,3 BHK,Saityat,1826,3.0,2.0,121.0,Aundh Road
Built-up  Area,Ready To Move,2 BHK,Eladero,1245,2.0,1.0,94.0,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Lancyey,1145,2.0,2.0,45.79,Baner
Super built-up  Area,Ready To Move,2 BHK,Suiseit,825,2.0,1.0,33.0,Baner road
Super built-up  Area,18-Aug,3 BHK,Aroomba,1693,3.0,3.0,108.0,Bhandarkar Road
Super built-up  Area,Ready To Move,2 BHK,Courf T,1113.27,2.0,2.0,53.0,Bhavani Peth
Built-up  Area,Ready To Move,2 BHK,VMowsea,1460,2.0,1.0,58.0,Bibvewadi
Built-up  Area,Ready To Move,2 BHK,S onsMa,1050,2.0,1.0,32.0,Bopodi
Built-up  Area,Ready To Move,2 BHK,Tuentpa,1260,2.0,2.0,55.0,Budhwar Peth
Super built-up  Area,Ready To Move,6 BHK,GrrvaGr,700,3.0,2.0,120.0,Bund Garden Road
Built-up  Area,Ready To Move,2 BHK,Tovesee,1656,2.0,1.0,120.0,Camp
Super built-up  Area,Ready To Move,3 BHK,Vailsaf,1208,3.0,1.0,45.0,Chandan Nagar
Super built-up  Area,Ready To Move,3 BHK,BrlisCo,1910,3.0,2.0,161.0,Dapodi
Super built-up  Area,Ready To Move,4 BHK,Haestt ,3252,4.0,1.0,225.0,Deccan Gymkhana
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,2.0,1.0,65.0,Dehu Road
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,1200,4.0,1.0,175.0,Dhankawadi
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1175,2.0,1.0,82.0,Dhayari Phata
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1000,2.0,0.0,165.0,Dhole Patil Road
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,2.0,0.0,125.0,Erandwane
Super built-up  Area,Ready To Move,3 BHK,PhestOn,2390,3.0,2.0,225.0,Fatima Nagar
Super built-up  Area,19-Jan,7 BHK,GrrvaGr,12000,4.5,3.0,225.0,Fergusson College Road
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,550,1.0,1.0,62.0,Ganesh Peth
Super built-up  Area,Ready To Move,1 BHK,GrrvaGr,34.46Sq. Meter,1.0,0.0,18.5,Ganeshkhind
Super built-up  Area,Ready To Move,2 BHK,Hoxiaa ,1185,2.0,2.0,38.0,Ghorpade Peth
Super built-up  Area,Ready To Move,2 BHK,VBvenal,750,2.0,1.0,38.0,Ghorpadi
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1200,4.5,3.0,225.0,Gokhale Nagar
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1550,3.0,3.0,64.5,Gultekdi
Built-up  Area,Ready To Move,3 BHK,Hoeatan,1760,3.0,2.0,88.0,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,Asity S,1125,2.0,2.0,62.0,Hadapsar
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1350,3.0,2.0,150.0,Hadapsar Industrial Estate
Plot  Area,17-Dec,2 Bedroom,GrrvaGr,1000,2.0,1.0,55.0,Hingne Khurd
Built-up  Area,18-Aug,2 BHK,GrrvaGr,1090,2.0,2.0,31.48,Jangali Maharaj Road
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,2.0,0.0,60.0,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1991,4.0,2.0,103.0,Karve Nagar
Super built-up  Area,18-Oct,2 BHK,DSoodil,1060,2.0,1.0,26.5,Karve Road
Super built-up  Area,Ready To Move,2 BHK,SJarkte,1105,2.0,1.0,75.0,Kasba Peth
Built-up  Area,Ready To Move,2 BHK,Dhgraas,985,2.0,2.0,67.0,Katraj
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1533,4.5,3.0,85.0,Khadaki
Super built-up  Area,17-Jul,3 BHK,HiqueMa,1590,3.0,2.0,79.0,Khadki
Super built-up  Area,Ready To Move,2 BHK,Srshq T,1120,2.0,2.0,55.0,Kharadi
Super built-up  Area,Ready To Move,2 BHK,SPontna,1069,2.0,1.0,55.0,Kondhwa
Super built-up  Area,Ready To Move,3 BHK,Prionad,1933,3.0,2.0,140.0,Kondhwa Budruk
Built-up  Area,16-Mar,2 BHK,PuendWe,1194,2.0,0.0,69.0,Kondhwa Khurd
Super built-up  Area,Ready To Move,2 BHK,Danna S,1150,2.0,3.0,69.0,Koregaon Park
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1240,2.0,2.0,47.12,Kothrud
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1419,2.0,2.0,48.1,Law College Road
Plot  Area,Ready To Move,8 Bedroom,GrrvaGr,1200,4.5,2.0,225.0,Laxmi Road
Super built-up  Area,Ready To Move,3 BHK,Bltonin,2150,4.0,2.0,225.0,Lulla Nagar
Super built-up  Area,Ready To Move,3 BHK,MSanaer,1450,3.0,2.0,55.0,Mahatma Gandhi Road
Super built-up  Area,18-Jul,3 BHK,Plowsri,1630,3.0,2.0,68.29,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,Tavenew,708,1.0,1.0,40.0,Manik Bagh
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1000,4.0,3.0,110.0,Market yard
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,11890,4.0,3.0,225.0,Model colony
Super built-up  Area,Ready To Move,2 BHK,Ocavees,1250,2.0,1.0,76.0,Mukund Nagar
Super built-up  Area,Ready To Move,3 BHK,Brnia G,1400,2.0,1.0,95.0,Mundhawa
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1670,2.0,3.0,57.0,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,SoystAm,1750,3.0,2.0,100.0,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1404,2.0,1.0,71.0,Narayan Peth
Super built-up  Area,Ready To Move,3 BHK,SMaxyay,1715,2.0,2.0,95.0,Narayangaon
Built-up  Area,18-Apr,1 BHK,Prarkun,630,1.0,1.0,34.65,Navi Peth
Super built-up  Area,Ready To Move,3 BHK,SosicCl,1752.12,3.0,2.0,135.0,Padmavati
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1650,3.0,2.0,78.0,Parvati Darshan
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1295,2.0,1.0,55.47,Pashan
Plot  Area,Ready To Move,3 Bedroom,Bancyri,1800,3.0,2.0,225.0,Paud Road
Super built-up  Area,18-Sep,2 BHK,PualeSk,1346,2.0,1.0,74.03,Pirangut
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,2.0,200.0,Prabhat Road
Super built-up  Area,Ready To Move,2 BHK,ElavuHo,1150,2.0,2.0,55.0,Pune Railway Station
Built-up  Area,Ready To Move,4 Bedroom,Gontyol,3309,4.0,3.0,225.0,Rasta Peth
Super built-up  Area,18-May,3 BHK,SunceEs,1190,2.0,2.0,30.35,Raviwar Peth
Super built-up  Area,Ready To Move,3 BHK,DSutyng,1620,3.0,2.0,98.0,Sadashiv Peth
Super built-up  Area,18-Apr,2 BHK,GrrvaGr,950,2.0,1.0,46.96,Sahakar Nagar
Super built-up  Area,Ready To Move,11 BHK,Bancyri,5000,4.5,3.0,225.0,Salunke Vihar
Super built-up  Area,Ready To Move,3 BHK,SrEndPo,2450,3.0,0.0,120.0,Sasson Road
Super built-up  Area,18-May,3 BHK,Sryalan,1220,2.0,1.0,35.23,Satara Road
Super built-up  Area,Ready To Move,2 BHK,RKntsrt,850,2.0,1.0,30.0,Senapati Bapat Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1020,2.0,2.0,63.0,Shaniwar Peth
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1100,2.0,2.0,50.0,Shivaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Vantspa,1150,2.0,2.0,126.0,Shukrawar Peth
Super built-up  Area,18-Dec,3 BHK,Mahosya,1760,2.0,2.0,130.0,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1800,3.0,3.0,110.0,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1070,2.0,1.0,54.0,Swargate
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1500,4.0,2.0,220.0,Tilak Road
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1440,2.0,0.0,95.0,Uruli Devachi
Super built-up  Area,Ready To Move,2 BHK,Prowsi ,900,2.0,1.0,40.0,Vadgaon Budruk
Built-up  Area,Ready To Move,4 BHK,GrrvaGr,1200,4.0,1.0,225.0,Wadgaon Sheri
Super built-up  Area,18-May,2 BHK,SMuilan,1130,2.0,1.0,42.16,Viman Nagar
Super built-up  Area,Ready To Move,2 BHK,Proodt ,1320,2.0,1.0,165.0,Vishrant Wadi
Super built-up  Area,19-Jun,2 BHK,GrrvaGr,1270,2.0,1.0,98.0,Wagholi
Built-up  Area,Ready To Move,2 BHK,Sryamar,1200,2.0,1.0,62.0,Wakadewadi
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,4800,4.0,2.0,225.0,Wanowrie
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,1.0,74.0,Warje
Super built-up  Area,Ready To Move,2 BHK,Prldsri,929,2.0,0.0,50.17,Yerawada
Built-up  Area,Ready To Move,4 BHK,LiaveEn,1150,4.0,2.0,225.0,Alandi Road
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1125,4.0,3.0,180.0,Ambegaon Budruk
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,500,3.0,2.0,65.0,Anandnagar
Plot  Area,Ready To Move,5 Bedroom,Bemesrm,1200,4.5,2.0,190.0,Aundh
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1464,3.0,2.0,56.0,Aundh Road
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,3600,4.0,3.0,225.0,Balaji Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,2000,4.0,2.0,99.0,Baner
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1208,2.0,1.0,49.0,Baner road
Super built-up  Area,Ready To Move,2 BHK,Vrensn ,1130,2.0,2.0,60.0,Bhandarkar Road
Super built-up  Area,Ready To Move,3 BHK,VDdonel,1753,3.0,2.0,120.0,Bhavani Peth
Super built-up  Area,Ready To Move,5 BHK,Brica E,4500,4.5,3.0,225.0,Bibvewadi
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,600,3.0,2.0,58.0,Bopodi
Super built-up  Area,22-Jun,2 BHK,GoAirej,1196,2.0,2.0,94.42,Budhwar Peth
Built-up  Area,Ready To Move,2 BHK,Prenty ,1150,3.0,3.0,52.5,Bund Garden Road
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2.0,1.0,63.0,Camp
Super built-up  Area,Ready To Move,2 BHK,Shinei ,1000,2.0,1.0,53.0,Chandan Nagar
Super built-up  Area,Ready To Move,2 BHK,Apows M,1035,2.0,1.0,45.0,Dapodi
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,950,2.0,1.0,32.0,Deccan Gymkhana
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2.0,1.0,36.0,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,SVineun,1040,2.0,1.0,48.5,Dhankawadi
Plot  Area,17-Oct,2 Bedroom,GrrvaGr,720,2.0,1.0,45.0,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1511,3.0,1.0,95.0,Dhole Patil Road
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1300,3.0,1.0,58.0,Erandwane
Super built-up  Area,19-Dec,3 BHK,Caycend,1545,3.0,1.0,68.75,Fatima Nagar
Built-up  Area,Ready To Move,1 BHK,GrrvaGr,375,2.0,0.0,26.0,Fergusson College Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1062,2.0,3.0,38.0,Ganesh Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1115,2.0,1.0,40.0,Ganeshkhind
Super built-up  Area,Ready To Move,2 BHK,DSvvyx ,1000,2.0,1.0,35.0,Ghorpade Peth
Super built-up  Area,17-May,2 BHK,Prrtht ,883,2.0,1.0,45.0,Ghorpadi
Super built-up  Area,19-Apr,2 BHK,Brareio,1195,2.0,1.0,70.0,Gokhale Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,3.0,1.0,165.0,Gultekdi
Built-up  Area,Ready To Move,1 Bedroom,GrrvaGr,700,1.0,0.0,41.0,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1246,2.0,1.0,67.0,Hadapsar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,660,4.0,2.0,90.0,Hadapsar Industrial Estate
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,8500,4.0,2.0,145.0,Hingne Khurd
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,1600,4.0,1.0,80.0,Jangali Maharaj Road
Super built-up  Area,18-Dec,4 BHK,SNnia E,2805,4.5,3.0,154.0,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1584,3.0,2.0,65.0,Karve Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,3000,4.5,1.0,225.0,Karve Road
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1175,2.0,2.0,48.0,Kasba Peth
Built-up  Area,19-Jul,3 BHK,GrrvaGr,1595,3.0,2.0,115.0,Katraj
Super built-up  Area,Ready To Move,2 BHK,OlarkLa,1353,2.0,2.0,110.0,Khadaki
Super built-up  Area,18-Apr,3 BHK,Prarkun,1599,3.0,2.0,125.0,Khadki
Super built-up  Area,Ready To Move,2 BHK,SuMTBPr,1150,2.0,1.0,70.0,Kharadi
Super built-up  Area,17-Dec,4 BHK,Lecco C,5230,4.5,1.0,225.0,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,Jahidva,1155,2.0,2.0,42.74,Kondhwa Budruk
Built-up  Area,Ready To Move,1 BHK,GrrvaGr,1200,2.0,0.0,85.0,Kondhwa Khurd
Super built-up  Area,18-Jul,2 BHK,GrrvaGr,1000,2.0,1.0,25.0,Koregaon Park
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,3000,4.0,2.0,120.0,Kothrud
Built-up  Area,Ready To Move,3 BHK,PuoodSk,1867,3.0,1.0,160.0,Law College Road
Super built-up  Area,18-Jun,2 BHK,ViistLa,1251,2.0,1.0,47.0,Laxmi Road
Super built-up  Area,18-Apr,2 BHK,Arano M,1028,2.0,1.0,45.5,Lulla Nagar
Super built-up  Area,Ready To Move,2 BHK,Amngsag,1222,2.0,2.0,45.0,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,3 BHK,SNity S,1170,2.0,1.0,66.0,Mangalwar peth
Super built-up  Area,Ready To Move,3 BHK,Kacesh ,2400,4.0,1.0,225.0,Manik Bagh
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1385,2.0,2.0,48.48,Market yard
Super built-up  Area,Ready To Move,2 BHK,SrisePo,1372,2.0,1.0,68.0,Model colony
Super built-up  Area,Ready To Move,3 BHK,Bilya A,1282,2.0,2.0,49.0,Mukund Nagar
Super built-up  Area,Ready To Move,9 BHK,Amsomun,5000,4.5,3.0,210.0,Mundhawa
Built-up  Area,Ready To Move,5 Bedroom,GrrvaGr,3000,3.0,1.0,225.0,Nagar Road
Super built-up  Area,Ready To Move,2 BHK,Shdhia ,1135,2.0,1.0,39.73,Nana Peth
Built-up  Area,20-Dec,3 BHK,GrrvaGr,1768,3.0,2.0,101.0,Narayan Peth
Built-up  Area,Ready To Move,3 BHK,Foconna,1325,2.0,1.0,90.0,Narayangaon
